,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0
0.767944870877505,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.7853981633974483,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8028514559173916,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8203047484373349,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8377580409572782,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8552113334772214,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8726646259971648,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.8901179185171081,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9075712110370514,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9250245035569946,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9424777960769379,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9599310885968813,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9773843811168246,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
0.9948376736367679,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.0122909661567112,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.0297442586766545,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.0471975511965976,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.064650843716541,J2-20,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.0821041362364843,J2-20,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.0995574287564276,J2-20,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.117010721276371,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.1344640137963142,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.1519173063162575,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.1693705988362009,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.1868238913561442,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.2042771838760873,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.2217304763960306,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.239183768915974,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.2566370614359172,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.2740903539558606,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.2915436464758039,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.3089969389957472,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.3264502315156905,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.3439035240356338,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.361356816555577,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.3788101090755203,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.3962634015954636,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.413716694115407,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.4311699866353502,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
1.4486232791552935,J2-20,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J0,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20,J2-20
